token,mean_importance
actually,1.9016798756395776
convinced,1.8052356972281511
cancer,1.6444139307511958
him,1.4955194845388178
wrong,1.4493788593827048
myself,1.035006219090844
dit,0.9013315200805664
anxious,0.8355954319364779
every,0.7187528239892345
guys,0.6447479224982089
something,0.6324634075629417
anxiety,0.6215865716170683
years,0.6091176410448368
post,0.5856318492587889
red,0.5799298311273257
hi,0.570132291679733
day,0.5575349316578857
eating,0.5523304417765758
feel,0.5470573769954399
used,0.542974609967132
her,0.5260020821976165
under,0.5022854075214127
sub,0.4808949115249561
ut,0.48006026954196085
why,0.4643762405758025
past,0.46253069536032854
felt,0.45272882202357323
because,0.44345527131512286
old,0.43944179186437393
up,0.42638086206373854
your,0.42081590448023315
doesn,0.41497645870237776
test,0.4139945538572647
still,0.3985384692489333
also,0.39645244022124515
see,0.3912169567250506
by,0.38273198680296144
few,0.3820674841701475
recently,0.3727401201513203
sweat,0.34672652184963226
please,0.3420147357319365
over,0.3208661745405455
should,0.3208423145562847
you,0.2868489668988751
heart,0.2866807657642312
said,0.26453331158299986
paranoid,0.2605314913671464
very,0.2592454490404634
told,0.24832456335328365
have,0.22608699682616135
which,0.2254133973532589
else,0.2186523881350045
she,0.20729182850081998
could,0.2069480908624731
ago,0.20124275362322805
know,0.19751656128897188
let,0.19734281237045556
kind,0.16851699370038528
im,0.1630872032000224
for,0.15711252845629017
who,0.15562711375241634
habits,0.15260361878123754
was,0.1514291663866364
is,0.14395555101653276
only,0.14150009256510593
sometimes,0.14141990725693177
me,0.13985443560018862
always,0.13506976439748541
cold,0.12029475995950634
the,0.1167127869303052
really,0.11548442535587872
and,0.11516502014883298
as,0.11076656355976411
then,0.10582180369328853
wake,0.10323618107941002
with,0.10202748816757645
made,0.10195528319400182
but,0.09850875607322623
back,0.09668115868192796
not,0.08183542435119093
an,0.08151903859379672
one,0.0790330254304453
if,0.07621450304782229
do,0.07575973167800279
of,0.07455152961494461
my,0.07311553541164197
might,0.07230466479502086
week,0.0718778748497633
physical,0.07182987445412437
he,0.07161034861765074
st,0.06999257004402655
ve,0.06749373202506427
this,0.06631802918637936
community,0.0652591666536561
from,0.06207524611347574
last,0.06120591024000532
right,0.05918536043827771
night,0.05901496809019591
since,0.05775180218858044
to,0.05664613035946083
comment,0.05472363034884135
super,0.05138481112589943
so,0.05053146460088629
usually,0.04762657180108363
think,0.04726064382415037
thing,0.047075847997803066
stress,0.046257855952717364
that,0.04573104715227187
sleep,0.04008896467348677
in,0.03921806923577567
pretty,0.03704034419206437
it,0.03690790076332936
hello,0.03682341316016391
don,0.03486792043888552
hey,0.03197128696774598
or,0.029469614675797534
at,0.02946513136607552
just,0.029220153872956872
woke,0.026189815119626775
been,0.02334549400393371
haven,0.022608493225561688
are,0.021545815570061678
work,0.020950067024386954
use,0.02085656769243845
nervous,0.020772058796137572
happened,0.019693914746676457
30,0.019210849107669976
month,0.019132335855829297
blood,0.018687002156054535
neck,0.01860827654205163
pling,0.0177657719856749
feeling,0.0174795399652794
be,0.017163078822783933
panic,0.016671394852164668
through,0.016335713301183812
take,0.016334153811233893
currently,0.01564528504604823
its,0.014733249068942515
taken,0.01453127003969712
go,0.014432200581419844
about,0.013583994089713088
side,0.012679180623308639
ok,0.01218553954580178
chest,0.012111469760566252
would,0.010997589774585018
too,0.010781118382510613
pain,0.010316787676401873
home,0.00999384664464742
ip,0.00974047661293298
on,0.00962550674520807
ache,0.008381738359457814
symptoms,0.008283085361957395
some,0.007823298694145504
fatigue,0.007658632443053648
afraid,0.007625122831086628
cat,0.007605103108896098
didn,0.007524540174927097
off,0.007179883723438252
dealing,0.007175668210644896
being,0.007094650020007975
all,0.006999547454556291
than,0.006782220233920573
going,0.006671165031851463
started,0.006660238953675919
iv,0.0066189612979845455
ed,0.0066167691878339
people,0.006333852086754632
when,0.006013924370836321
anything,0.005896870005623593
am,0.005641100550019473
how,0.005536387850456363
cr,0.0055342377665510865
after,0.005437933398752648
never,0.005331447129719891
time,0.005071013519227563
found,0.004748597365202538
things,0.004559972604121347
days,0.004476603187608167
okay,0.004459639186582838
roof,0.004384225316850158
thinking,0.00403771815035725
got,0.004014906202655766
worried,0.0038158146271598525
there,0.0034479857440601336
has,0.003447680831064085
anymore,0.0030146344024615246
ha,0.002997740015416639
had,0.002840965519681049
will,0.002674615903136631
though,0.0026345263365025553
asked,0.0025877195002976805
friends,0.002575514721684158
mouth,0.0024744074908085167
having,0.0023838098775740947
ex,0.0021364845257873335
someone,0.002121470997475886
clear,0.002070900494193969
suddenly,0.0020513822989111454
tell,0.0019037102083530044
common,0.0018326838762732223
get,0.0017700486371593019
crazy,0.0016017021140820968
scare,0.001484799771181618
much,0.0014518914110036956
restless,0.0013806793805477874
does,0.001346758275758475
they,0.0013059228553578982
can,0.0012815255310367017
definitely,0.0012249415121914353
before,0.00121414128352626
into,0.0011854931705480947
extremely,0.0011815452890004963
pressure,0.0011232627730350941
pit,0.0010709546186262742
issues,0.0010563590303718229
health,0.0009351855036844167
family,0.0009293184945515046
what,0.0009030011718399086
anyone,0.0008762697430534495
pal,0.0008625372283859178
par,0.0008613591835455736
help,0.0008537159563275054
dry,0.0008449868861741076
out,0.0008418934405978819
move,0.0008011859924105617
amp,0.0007748759877965009
bies,0.0007395175052806735
many,0.0007298321579582989
read,0.0007164664129959419
freaking,0.0007083813456119969
flu,0.0006619556200651763
small,0.0006446701445383951
went,0.0005747311675804667
worry,0.0005514629738172516
make,0.0005236283934209496
even,0.000505543032886635
come,0.0004884729047868556
ing,0.00048464871679243515
talk,0.00047922836771855753
lump,0.0004618128393000613
like,0.00046092391039564973
twice,0.00046012298359225195
head,0.00045799962572345976
ra,0.0004481816237481932
weeks,0.0004342347243177106
were,0.0003964600573453936
away,0.00039600125746801494
want,0.00038230614275865565
down,0.00038027986738597974
lot,0.00035970232711406424
now,0.0003498682931661422
struggling,0.00032264291439787485
attacks,0.00031801924827353406
say,0.0002982478122248722
nose,0.0002971589759302636
everyone,0.00029664950398000656
close,0.0002859434947216262
sure,0.00027936952271071885
severe,0.00027795269367440295
taking,0.0002662611965206452
posting,0.00025977510085795075
them,0.0002596327655434531
doctor,0.0002509346222723252
hit,0.00024866445528459735
hate,0.0002486610950048392
new,0.00024188144410193976
no,0.00023494260167353787
own,0.0002338540458974118
um,0.00023375454960235706
throat,0.0002261993897263892
causing,0.00022204520428203978
re,0.0002199081463913899
problems,0.0002186997007811442
stomach,0.0002172992996444615
first,0.00019457049503606477
ness,0.00019269908079877496
cry,0.0001918209163704887
long,0.00018586026126286015
attack,0.00017482905604992993
numb,0.00017407286213710904
id,0.0001737834386403847
reading,0.0001725702459225431
here,0.00015854422175228441
while,0.00015713362336100545
bad,0.00015177420157540058
weird,0.00014962723707867553
year,0.00014905982849692614
where,0.00014480566314887256
we,0.00013188401135266759
well,0.00012847055222664494
body,0.00012364707254164387
painful,0.00011636726655221234
their,0.00011374984993987407
doing,0.00010823946164843316
feels,0.00010579921217868105
ever,0.00010251172989228508
other,9.988920146497549e-05
noticed,9.653015149524435e-05
worst,8.384944885619916e-05
left,7.860094072904238e-05
months,7.235133827115143e-05
leg,6.815498030240026e-05
again,5.64931207918562e-05
came,5.134056991664693e-05
good,4.8589218446674444e-05
quite,4.75084804444729e-05
