token,mean_importance
counsel,5.945646286010742
therapy,4.4809697507618695
med,2.8919065886487565
anxious,2.827596985420314
normal,2.207640717783943
telling,2.188437675620662
nervous,1.8499693489982747
physically,1.7938069380179513
ran,1.768137148503835
de,1.6013162021990865
abuse,1.5760700752843049
too,1.4356255378970673
level,1.3756822985887993
hide,1.3232525064304355
trauma,1.2321049863773321
parents,1.219416950433697
anxiety,1.19277659812472
childhood,1.181385301395494
free,1.068706378026036
mom,0.959748400200624
remember,0.9518388914621028
happened,0.9497022949741222
memories,0.9215486661269097
cu,0.8971753517786661
until,0.8320469541455774
again,0.803294003601574
see,0.7899615541275125
here,0.7665576244374582
something,0.7375423146913818
night,0.7257552708809575
horrible,0.7116997001333706
well,0.6764353814869537
him,0.6736948335455963
take,0.6498931974407848
started,0.6427962790136613
feelings,0.6401368159378762
last,0.6385968597993875
diagnosed,0.6278943236296376
college,0.6207956241851207
relationship,0.6128051603833834
where,0.5866661278099249
yesterday,0.5810229916435977
im,0.572379932658805
high,0.549560681800358
never,0.5470470242658588
down,0.5234520260613257
someone,0.48464813579175825
this,0.47762243026394763
how,0.4750097299875051
weird,0.4749684128037188
violence,0.4686082243376101
its,0.4644404240431565
afraid,0.4535725633468246
couldn,0.45162836925980326
small,0.44803458149544895
everyone,0.4355959299842652
he,0.41687167057155067
physical,0.4046836500237987
boyfriend,0.39974007862232
are,0.39188897765011965
anymore,0.3865358311923046
on,0.37174442125181556
daily,0.3625176951127287
by,0.3380851706127335
who,0.33454433772801295
be,0.3339608632946832
life,0.3294289912919989
about,0.3259265153580848
then,0.3254528202851361
those,0.3230067592512569
else,0.31774514550488675
can,0.3175447795999519
short,0.31423506175390986
random,0.312477505132847
bad,0.3121041845891644
years,0.30470993450803185
more,0.3042245325377735
two,0.302367533382494
help,0.2997290746910342
there,0.29390922453785606
why,0.2876883440258098
after,0.2808561774470166
know,0.27639597204342864
you,0.27028818714395375
really,0.2691230258900429
only,0.261178653947614
hours,0.2564413452637382
had,0.255189202158211
day,0.2551775648149487
going,0.2539214403111076
trying,0.25295106602996903
don,0.25057579376891015
we,0.2442920954854344
child,0.24273071039351635
father,0.23733056152705104
find,0.2337048611686138
do,0.23301049674410024
left,0.224640955554302
pretty,0.22196197384801053
were,0.21545869730180128
before,0.21530268293099653
stress,0.21466237655194062
around,0.21229917232722073
is,0.20716097612357237
iv,0.20634607661049814
re,0.20284448947495548
would,0.20106968168438472
will,0.19984483008253542
not,0.19947858872516613
she,0.198503661720315
them,0.1955001561397115
emotional,0.19312494630430593
was,0.18972219884045233
keep,0.18894289771075515
took,0.18637812648194085
still,0.18444493710234788
my,0.18338994856563876
doing,0.17914237155855517
which,0.17820271075227842
an,0.17508620165047736
food,0.1748110537106792
away,0.1745540894798978
and,0.16864912128052395
the,0.16195631540735228
having,0.15941814077502517
for,0.1583909138339781
went,0.156207344844006
made,0.15287872738528158
at,0.15005446741762332
way,0.14976762598053028
been,0.1487852669511085
feeling,0.14742412659241103
same,0.1469299537469245
back,0.14561689557558566
no,0.1414998741565796
stressed,0.13971181213855743
say,0.1390592291330298
coming,0.13769206120778107
time,0.13720036569943392
completely,0.13420666143065318
have,0.13314367541765842
because,0.13091591537675795
always,0.1271200620540185
go,0.12487331344982522
brain,0.12471973750507459
social,0.12134788045113964
from,0.12093652182065853
since,0.11353606541656931
point,0.11283568898700953
anyone,0.11253693663708803
ll,0.10994176749954931
get,0.10904824315653777
headache,0.10454080857258911
want,0.10275622394484733
me,0.10270883063640213
as,0.10048032430013872
of,0.09795914438940859
one,0.0966321737493802
to,0.09244522007207581
ne,0.09101175521088105
what,0.08907341180706267
like,0.0890567629814121
her,0.08813933375164527
even,0.08622071630952632
hey,0.08612425757261614
that,0.08570604756780746
people,0.08324059257189648
sure,0.08168338560547757
they,0.08151098649334297
hate,0.08097882180785139
with,0.0771170863826098
it,0.0762701555093782
out,0.07282085372880039
some,0.07024429745949116
said,0.06972566943053
so,0.06917901109415782
all,0.0666889378889391
hear,0.0665088031431272
head,0.06514357866641755
feel,0.0644281675620574
when,0.06441348978221546
just,0.06413775966277833
family,0.0625733962731374
past,0.06183836852778768
has,0.060514485258863715
in,0.057171173473169655
but,0.05438979403021052
basically,0.053960176495214306
extremely,0.05394101242806452
close,0.05389836435278994
while,0.05209801893943222
ins,0.04757594084367156
these,0.04676775419793557
decisions,0.046167737959573664
home,0.04577234043002439
told,0.0434303163157084
pain,0.04316302482038736
okay,0.03988222660458026
now,0.039664981993957876
got,0.03753413335289224
am,0.035619753862799065
up,0.0342360991435271
stop,0.032288068536824234
friends,0.029180560207169037
lot,0.028134715069932606
chronic,0.026429636403918266
nothing,0.025307988185280312
problem,0.024968156503746286
myself,0.02484183306205523
found,0.02357440209016204
making,0.02278316708179773
whenever,0.022686147053415578
body,0.021798048333342496
wasn,0.020052690311179806
av,0.019689772505080326
if,0.019669805153898778
does,0.019561647188675126
place,0.018496998391735058
sometimes,0.01841349860963722
your,0.018213571252999827
taking,0.017770376696716994
ing,0.0169303829970886
everything,0.016487466975377174
figure,0.01648592384784327
didn,0.016405485940049404
ve,0.015011285914234966
edge,0.014897392597049475
things,0.014864666996193895
could,0.013465051313990747
shit,0.012647487679108357
doesn,0.012529312356491573
lately,0.011988134579344964
decided,0.01101728757203091
es,0.010731131027569063
year,0.00967348191729148
months,0.009567881177645177
being,0.009233575253165326
person,0.00830552983097732
makes,0.008152821033339327
make,0.007923517592826102
other,0.007720453669207927
type,0.007480625094710073
over,0.00737953550084897
much,0.007282988252579041
very,0.006067504237156148
through,0.005693521743523888
his,0.005424882179568158
new,0.005354367804829963
cannot,0.005050160058696444
leads,0.005004113617663582
any,0.0049329207162372764
hi,0.0048561251678620465
actually,0.004798063207999803
thinking,0.004646413991395093
different,0.004583568622668584
mind,0.004543635699519655
days,0.004373286479676608
enough,0.004115019148230203
example,0.003854200738715008
getting,0.003679042402836785
let,0.003635184728409513
situation,0.003614820867369417
few,0.0036107417890889337
off,0.003556031428161077
enjoy,0.0032069753578980453
such,0.0029528322144566723
without,0.0028737697830365505
di,0.0027664179251587484
or,0.0027605146903554737
happy,0.002728392273032417
think,0.0027015044278024497
cause,0.0025439688130669915
work,0.002542480014917122
feels,0.0025131198344752192
30,0.002298987249378115
emotions,0.0022916417268182463
sick,0.0022520650993101297
money,0.0022365748191077728
sleep,0.002229114683965842
currently,0.00218788202861712
problems,0.0021811605256516486
also,0.002173407257942017
fear,0.0021018801373429595
school,0.0020262322286725976
live,0.001982272951863706
lose,0.0019137661050384243
etc,0.0018931374591678225
anything,0.0018618801041156985
rehab,0.0016338188045968611
into,0.0013976162035760353
try,0.0013963708576435845
tell,0.0013555490608268884
ness,0.0013212585035944358
called,0.0012268902646610513
entire,0.0011975337790014844
most,0.0011318247656163295
pd,0.001059967028725493
kept,0.001034972257912159
today,0.0009851998183876276
ed,0.0009678784270363394
should,0.0009042702270865751
weeks,0.0009034883492859081
job,0.0008568320417907671
old,0.0008026888005285097
music,0.0007883289571119738
isn,0.0007186911146466931
mental,0.0006691165132603297
best,0.000622684145491803
flashbacks,0.0005423070397228003
recently,0.0005191717762500047
ended,0.0005159835515466208
hard,0.0005104623414808884
research,0.00048768502892926335
yin,0.00041566157597117126
seems,0.00040632980623437714
every,0.0003782767307711765
own,0.0003539978836973508
ago,0.00029161371503505507
yoga,0.0002846104568258549
become,0.00028137316742989543
under,0.00023878226299226904
almost,0.00017693407926344662
al,0.0001474155142204836
face,0.0001293317848952332
thing,7.458772415702697e-05
