token,mean_importance
stressed,6.210775842424482
](,2.4342464798731576
heart,2.0814072468783706
chronic,1.9536675612131755
basically,1.4068547176818054
"),",1.3429922231007367
ing,1.0997466720449058
parents,1.0886769782555348
mind,1.0373246277304133
high,1.0073421643595792
age,0.9695623387524392
anxiety,0.9531685289268632
weird,0.9510312646307284
too,0.894400788252824
extremely,0.8908690721679401
horrible,0.888223393044124
decisions,0.8855558107607067
hi,0.8122320206409009
anxious,0.7940304861404002
hide,0.7917744961341668
leads,0.7142615914344788
around,0.6831346311246307
happy,0.6641146734182257
example,0.6397948553785682
pd,0.6172145856039909
else,0.5991585915253381
body,0.5831699299936494
relationship,0.5036255977659797
being,0.47842957151151494
anyone,0.4726247316872244
through,0.453060499955609
completely,0.4435321177588776
pl,0.42798787355422974
stop,0.41223933454602957
give,0.4080348615340578
making,0.39572378813754766
feeling,0.38843404900399037
someone,0.3683547202781483
'm,0.34622880745777246
whenever,0.34227161221012165
diagnosed,0.34140114705466357
help,0.3397351580540999
think,0.3325296374646963
hate,0.3310832642018795
...,0.31744639766596566
couldn,0.31650434989387577
free,0.3059598157803218
problems,0.2738625045070269
etc,0.2704144310943472
her,0.2698088971925851
av,0.2691186503022133
'll,0.26437691321604817
social,0.2614729652650567
going,0.25973025565222735
dont,0.25881873513364034
am,0.25769928014426224
after,0.2566018971104183
here,0.25287421928563464
anymore,0.23773725528735667
not,0.23238291646339349
type,0.23001730233469667
make,0.2299532552846358
problem,0.22892865774338134
by,0.22801197873680698
actually,0.22613288020996455
away,0.2250981918477919
tell,0.22435010336339473
do,0.22364860829206326
nervous,0.21845845604184433
cause,0.21417491881099218
anything,0.21118023432791233
everyone,0.2099437352953828
how,0.20848256238605245
30,0.20828159164666432
which,0.20630444106999285
therapy,0.19975958522118162
work,0.19956678082311746
everything,0.19900125339751998
go,0.19335036856682564
college,0.19180509036050353
makes,0.18721277446942017
brain,0.18428638541081455
is,0.17550837109893808
happened,0.17538234767271205
head,0.17367635891908625
was,0.1734530466301294
when,0.17258370787021704
what,0.16968347857585864
normal,0.16966935981763526
lot,0.16850062532224305
figure,0.16801797033986077
family,0.16517309911932898
still,0.165050667285363
's,0.15831582508973144
get,0.157520904500052
days,0.15359184064436704
know,0.1528643006278712
this,0.15126731868076604
close,0.14992106450699794
want,0.1495928794904709
ve,0.14936077374538095
them,0.14932738538217646
just,0.14858037721680578
never,0.14851529502290456
our,0.14778993206952387
told,0.14768990102553894
why,0.14701841172882268
that,0.14371352146222388
afraid,0.14097548732631063
years,0.135914065058791
myself,0.13462894534313818
no,0.1346172160022737
little,0.13228256540605798
cant,0.13125898368889466
looking,0.12842710812886557
she,0.12752648190726176
yesterday,0.12578265640574196
the,0.12017464629069663
and,0.11992699548604183
any,0.11703778219525703
but,0.11392941648329385
of,0.11322930155041501
in,0.11306299399549734
thinking,0.11122584425029344
say,0.11016950286769618
if,0.10954819099490785
school,0.10880483364518215
for,0.10536180445772819
find,0.10525921008957084
friends,0.10441380565607687
went,0.10359508078545332
be,0.10101606839118177
had,0.10080286263544419
can,0.09957893430076253
most,0.09797632739064284
feel,0.09788343869819073
my,0.09730780297388815
remember,0.0967398769025749
over,0.09488156687818143
't,0.09479676541439923
im,0.09370034733386573
will,0.09357880892882046
to,0.09149458261638918
because,0.0899973629309802
have,0.08897674529481182
so,0.08870988522187784
new,0.08791936589113902
small,0.08777806768193841
've,0.08629754695919639
ago,0.0862396522097697
all,0.08446112048442536
or,0.08400001932638518
sure,0.0835480837704381
with,0.07957557382360392
on,0.07926122965444746
few,0.07884595502673619
you,0.07843247519122087
currently,0.07685828843386844
getting,0.0766262066802786
since,0.07564653842101424
boyfriend,0.0752171860076487
always,0.0725748187287536
about,0.07251759517669637
hours,0.07218276243656874
are,0.06999672908423235
pain,0.06971222658952077
from,0.06917223229829687
an,0.06865573636110235
keep,0.06859423741843784
other,0.06647655031265458
try,0.06639783201535465
it,0.06619580308867862
these,0.06531196866999381
there,0.06311205232577777
way,0.06296321925037773
been,0.06291598946858279
food,0.06220677370826403
people,0.059900066377950784
at,0.05947207148732131
physically,0.05827785235851479
me,0.0578054832205792
two,0.05778995744913118
hey,0.057577624005110316
does,0.057430882938206196
well,0.05338915478751005
random,0.05302726880957683
then,0.05278919718512043
down,0.05235600137966685
pretty,0.05095537998022337
having,0.05015264820602689
year,0.04984085637884813
level,0.04978061723522842
while,0.04963691032025963
home,0.04921024366558413
trying,0.04716654410211569
up,0.046455515426350756
ress,0.04503051651408896
back,0.043355529733526056
who,0.042537549292319454
we,0.04199622751366405
one,0.03887832627854853
day,0.03838639506218235
where,0.03787852733512409
place,0.03534918653410083
out,0.032351218524127034
emotional,0.031660268985433504
stress,0.031235463502040754
like,0.031048622982914956
before,0.02934759922864032
its,0.02879510899098629
doesn,0.027076358965132385
hear,0.025922502213992022
were,0.025554794698837213
don,0.025111719872008754
best,0.02419467353174696
last,0.024167816421443906
bad,0.022821190576775865
started,0.0226238999433311
feelings,0.022596500515646767
now,0.021077947671823066
much,0.02041540580047205
would,0.020146813098769846
talk,0.01779696314042667
should,0.017790533921340414
really,0.017503719527807195
took,0.017148860562883783
short,0.016961747639773723
off,0.016055429610423742
only,0.016000331386749167
sit,0.01597246459762876
person,0.015609413589118049
daily,0.015156087696595932
time,0.015116631790827824
point,0.015111512380826753
very,0.014918801437791748
such,0.014695021721612042
music,0.014598057636508852
coming,0.014435261915787123
left,0.014029508628785456
things,0.012962541317392606
shit,0.012456540493682647
some,0.011908788198221979
without,0.011855268441649969
found,0.011288146442893776
different,0.01122900634072721
recently,0.011192844227480236
his,0.011036465623419645
as,0.01083319278929112
even,0.010760086417576531
mom,0.01072010250451664
could,0.010124128184543224
has,0.009872779829038336
see,0.009637757747259456
decided,0.009211852168664336
again,0.009088878102678185
enough,0.008677714582518092
ass,0.008674447851565978
ness,0.008376341623564562
months,0.008137336794789007
taking,0.007881916586484294
him,0.007781181322310918
money,0.007195251541816106
sometimes,0.006745367041730788
tried,0.006678308840491809
also,0.00660386076682092
into,0.0065544083818167564
he,0.006346826278984182
).,0.006072712164799062
past,0.005903886860323837
enjoy,0.005006555336876772
doing,0.004425570605235407
edge,0.004368008909902225
they,0.00423829135699914
take,0.004020446012267105
nothing,0.0036139424119028263
old,0.0033562238725911206
nt,0.003323724629202237
rehab,0.0031354574020951986
sick,0.003066607960499823
