token,mean_importance
restless,4.998182407066149
out,4.741909061982672
agitated,3.812052727676928
anxious,3.3545799312726428
help,3.234630334684539
uncertain,1.2271330911438174
about,1.117597355814301
was,1.0706715061619434
get,0.9937240850786111
it,0.8474588695379921
afraid,0.8125619220405043
me,0.6534002574559575
nt,0.5355108279121245
fearful,0.4977657345443731
and,0.4731233622092965
slightly,0.4546715679495416
only,0.43227966149822805
when,0.3778549065572179
to,0.3599327067499605
off,0.31223647473173816
feel,0.2681303109661153
life,0.26176553822951976
ive,0.25504093204047723
day,0.21600411810595688
though,0.20739472512650536
good,0.2038687946595322
because,0.20107694172197121
your,0.19080452578418772
my,0.17699476723960927
take,0.17671397605492226
situation,0.1753547273486523
so,0.15794349653303924
that,0.15182100823455716
some,0.1353948211849456
much,0.13237451584700466
this,0.1298776862951945
way,0.12535687087378733
feeling,0.11990094264419757
thought,0.10752995645899925
also,0.1057763004998075
of,0.10303192196611358
the,0.08996927518915072
overwhelmed,0.08932723265747881
like,0.07697200704316552
as,0.07061265550967416
would,0.06419328847442785
felt,0.06220451920815625
time,0.056762280485903226
if,0.056342460815471895
am,0.05537060249035777
you,0.053642815112807184
really,0.048990513693318215
for,0.04702269402812156
were,0.04675238850601696
or,0.04200182371515382
in,0.037913767991972235
make,0.030501408717289753
terrified,0.028701592472771154
thing,0.01103088628497062
little,0.010506292734362432
frightened,0.009567181014972448
right,0.005292877176998445
can,0.005013016785960644
how,0.00430711910030368
im,0.0033655664359876505
not,0.0032971336682749096
shaky,0.0029540008205610016
they,0.002798532133359307
people,0.002659470789997916
going,0.0026369868496008814
today,0.0026344544370268913
less,0.0026150610201057132
scared,0.0025878616822107383
home,0.0015899354657449294
comes,0.0015839676152609172
are,0.0015332047080139294
still,0.0014094353761417249
go,0.0013329418243301916
did,0.0013009737776883412
think,0.0012830642314156648
away,0.001234904548709892
just,0.001134149987744119
over,0.001131811927916715
actually,0.0010966334543809353
up,0.00106673339784417
from,0.0010626315771332883
them,0.0010111615000975387
now,0.0009728887832807231
at,0.0009469732433160516
see,0.0008196131924194106
uncomfortable,0.0007543259034719085
year,0.0007420076726702973
wanted,0.0005745703532132514
is,0.0005643759700299544
strange,0.0005598190396085556
shaken,0.000531744352580669
on,0.0005193266997419135
anything,0.0005124089060473125
bit,0.000497927923277075
trying,0.0004746624881590833
but,0.0004681207693693068
know,0.00033553021899024316
very,0.0003309728872409323
an,0.00031904507909530366
all,0.000298334586227611
with,0.0002782748877783498
intimidated,0.00027592984163978446
had,0.00026849468140426324
will,0.0002446546000555827
love,0.00023183337558900044
reluctant,0.0001817190082874731
sometimes,0.00017976505932892906
without,0.00017786223907023668
told,0.00017753062244689014
who,0.00016548899930057814
she,0.00016065779851714979
shy,0.0001429481441543127
easy,0.00013741023758484516
feels,0.00013624325652017433
threatened,0.00012893761095256195
he,0.00012877096378360875
by,0.00012002976727671921
heart,9.740689449699858e-05
there,9.337392049246773e-05
been,9.265887788387773e-05
any,8.71244507531325e-05
again,7.76612178015057e-05
book,7.275442658283282e-05
pain,6.929314834754526e-05
someone,6.14506045167218e-05
what,6.0011755673864776e-05
be,5.928478882261905e-05
guys,5.1565391004260164e-05
part,4.789012496075884e-05
her,4.691817702808164e-05
nothing,3.8282724441766426e-05
have,3.788653407355014e-05
too,3.719549082840482e-05
could,3.320778159832116e-05
do,2.6969924192599137e-05
should,1.8621019232038332e-05
ass,1.1772855941671878e-05
whatever,9.206969934894005e-06
other,6.919100693873285e-06
thin,5.376113790589443e-06
