token,mean_importance
stressed,1.1871105548925698
nt,0.9939785899138466
age,0.6948058930138359
someone,0.6915481104115315
completely,0.6456671200858182
pl,0.546574840011696
normal,0.5246472591083148
dont,0.5219520559684108
around,0.4850060434964689
remember,0.4634228499853634
why,0.45519174855598976
anxious,0.35648895428721517
free,0.35243096109479666
after,0.32058645470247676
brain,0.31450080402100866
until,0.30955465259588283
went,0.2577025891177982
her,0.24479024274948338
father,0.23647675906540827
being,0.23424071236895544
too,0.2336088670931531
mom,0.22072693305866173
example,0.20582749244446555
abuse,0.19657754865738752
such,0.18108784983390555
could,0.17775062136274755
sure,0.1733954559161551
chronic,0.17253629863262177
anxiety,0.16763873659762724
say,0.16623206211564442
anything,0.16086939442902803
away,0.16000665060164465
's,0.15442230162019163
emotional,0.15261183862639882
then,0.15175461561557313
body,0.15043160280129086
think,0.14639611945728706
left,0.14576813159025429
will,0.14480965532857226
feels,0.14239253615232883
physical,0.14217889595662805
im,0.13121968534366768
person,0.13097413171635708
told,0.12700388578357685
way,0.12090407958930882
30,0.12073882671065803
emotions,0.12032419847431204
trying,0.11848019312960137
was,0.11764205865101758
not,0.11688695648156984
do,0.11396406675458307
'm,0.11246424063603862
family,0.11194398769043801
therapy,0.11146420622681034
new,0.10688100645493251
home,0.1067616986529174
'll,0.10545887663257807
memories,0.10522805083746789
small,0.10452969452126126
live,0.10343260100853513
pretty,0.10153320655876996
you,0.1003658563187552
money,0.09921328296195497
years,0.09856939810399329
everyone,0.09845280668305349
had,0.09395115305672637
relationship,0.09130474925041199
at,0.09059828801240227
life,0.08989648265605865
job,0.08911929874579982
whenever,0.08877253649795118
this,0.0884238037507459
its,0.08689891168751274
make,0.08550467905142796
head,0.0843205490151983
making,0.08345821076800349
parents,0.08279454912099027
want,0.08159351372475308
take,0.08145645020734567
in,0.07873065525961426
people,0.07842732526847208
leads,0.07746481398741405
up,0.07509554258849675
by,0.07501385983217308
always,0.07174963984228573
else,0.07058455031922979
be,0.06941585946544365
looking,0.06815299462080777
just,0.06785434929164087
because,0.06751786548556993
weeks,0.06688194299131282
of,0.06610368352774072
know,0.06575864439400902
we,0.06547809824974138
if,0.06514628410166717
social,0.062293078689208414
that,0.061295311362444316
level,0.05884338911346276
going,0.058652486920956495
never,0.058366791251440495
only,0.05743686370767266
back,0.05735152939378167
those,0.05685567706435298
got,0.05668097147190565
bad,0.05625865786584784
and,0.05463431170839802
ing,0.05382298099993932
hi,0.04872298137221757
are,0.04866310338657058
okay,0.046826719461629786
diagnosed,0.04653890737487624
but,0.04652569519228479
other,0.0463101706960515
yesterday,0.04612968902438297
violence,0.04359472565435377
on,0.04266302843044051
recently,0.04254287418698368
much,0.04093065374050079
boyfriend,0.04018887495233988
decided,0.039949094848998355
physically,0.03959441518782114
out,0.0395632707270579
like,0.03897650860667286
me,0.03832323723965324
food,0.037578651506919414
give,0.037133141469288
should,0.037104377321416644
get,0.035643551481553
help,0.03495264306311583
so,0.03434081796888589
cant,0.03379093449517053
"),",0.03350196125878332
mind,0.03338634351894143
see,0.03334087486146018
to,0.033211374601765986
random,0.032647719776529506
problems,0.032575603170092414
my,0.032464929607609334
happy,0.03170989593490958
have,0.0316614134575833
short,0.030607184334561072
for,0.029199991678827548
feel,0.0291321604217228
the,0.028361623129270205
is,0.027001501207835715
who,0.026856270603145407
or,0.026535845168872092
don,0.026043225311117236
...,0.025061625379142544
it,0.024471292811602773
still,0.023941544778305495
nervous,0.02326620786334388
before,0.023219990735560712
how,0.022269258794949565
which,0.02138984538006688
point,0.021282073993158217
about,0.020055501248941215
etc,0.019940240922248147
made,0.019304767237632144
through,0.01906923110873322
them,0.018804431271415855
an,0.01836173450515667
cause,0.018253541509087274
](,0.018058368907077238
him,0.017804405864028792
when,0.01714979918357896
couldn,0.016212774993164203
with,0.01594614747621866
your,0.015879158597575344
he,0.015757008380877898
days,0.015731521121779224
no,0.015484976884787708
while,0.014559889959855354
started,0.014501696187229149
all,0.013932420057524443
would,0.013679814699488898
go,0.013646579970782113
two,0.013507751587894745
work,0.013373688977241583
heart,0.013094512494717492
't,0.012742459003337508
something,0.012586686527356505
am,0.012523930226713921
really,0.011340783670885476
wasn,0.011285827040410368
does,0.010860169088846305
most,0.010468911989300977
happened,0.009780247090384364
ago,0.009699612965960114
tell,0.009654192786729254
college,0.009581756883562775
hate,0.0091169522953957
pain,0.009045634462381713
weird,0.008989348854811396
has,0.00873934096262019
from,0.008543190262207645
myself,0.00839286990913024
one,0.00835318949939392
ness,0.0076086675593008595
said,0.007588866021251306
ass,0.007378605131331521
stop,0.007350097352173179
high,0.006922406084413524
can,0.006899746479085969
some,0.006811535946477913
even,0.006463866967199768
year,0.0063113826430968144
anyone,0.006224555539190008
getting,0.005922407086068738
problem,0.005833925368278869
pressure,0.005580916767939925
where,0.005322923255638064
feeling,0.00525409597851952
very,0.004359629396579597
child,0.004309760686010122
time,0.003891483637583887
been,0.0036043279962699594
talk,0.0033799285592976958
shit,0.0033048360613368763
down,0.0032960815748083404
horrible,0.0030944789559725905
our,0.002927111054304987
she,0.002909901281236671
school,0.0028189625263621565
here,0.002645408141082347
any,0.0022852624824736267
currently,0.002218074039168035
hear,0.0022040911668833965
enjoy,0.0021780844963359414
anymore,0.0021081956861053186
let,0.0020816203996218974
try,0.0020259691858276105
little,0.002005067315622
ve,0.0019020715537105086
without,0.0018815702314896043
find,0.00183832906926303
figure,0.001824708677304443
as,0.0017528046231317978
afraid,0.0015932677815726493
've,0.0015096278343249155
hey,0.001498150372450861
edge,0.0013990366132929921
coming,0.0013784563139779492
face,0.0013506776786016417
real,0.001292909836289861
didn,0.0012094780146677901
since,0.0011814469134233977
different,0.0011620611767284572
keep,0.001155740821256283
music,0.0011421559525583039
makes,0.0011247378194336004
having,0.0011085292951195566
sit,0.0011082331790627602
there,0.0011005113033206726
hours,0.001033676378938253
ant,0.001020109553792281
rehab,0.0009882341061408322
doesn,0.0009016617550514638
last,0.000890974518066893
