token,mean_importance
restless,7.0066138704617815
anxious,2.887898207863535
today,0.7666236339302291
out,0.6903369786012566
some,0.682740073241348
help,0.6350544611514124
im,0.5923224706888696
was,0.4529751122788828
have,0.34552124346992386
very,0.33461256478754614
get,0.3213336549271541
feeling,0.3135255456112935
am,0.2899161822057768
for,0.2882605166449924
about,0.2821408483543045
when,0.27555790752361037
my,0.18975532395541173
in,0.16555306730062208
scared,0.1633421763720738
it,0.15697819077504457
and,0.1443327951301594
fearful,0.13571078893764935
me,0.13451562892051336
any,0.12902642579198678
pain,0.12827147056240543
that,0.10550712149490664
will,0.09540917588913089
to,0.08590202989057862
feel,0.08377393085463697
part,0.07379939084421494
thought,0.0669695151717254
or,0.0530623239772261
little,0.044987652612121565
overwhelmed,0.03789308780733336
also,0.03044439414067786
felt,0.02903808316489176
good,0.026959430130716555
over,0.025683986301646654
the,0.02408598975321427
time,0.020558243714428198
you,0.018768594904859777
if,0.018579243419793556
your,0.01821771334046692
were,0.016199909333636242
so,0.014145311030540597
make,0.009392514963811513
book,0.008284113724888206
this,0.005888384094464527
of,0.005683052018995924
nothing,0.005248570400643378
agitated,0.004436732160684187
trying,0.0032459339778749077
could,0.0032152638145059123
actually,0.0029110741043041344
ive,0.002560589164356012
frightened,0.002159903491019577
see,0.0020253006381523164
uncertain,0.0019948764999450455
thing,0.0019916839545430776
nt,0.0017028803146483067
there,0.0014684887498219723
with,0.0013924558896129774
sometimes,0.0007849300251715855
feels,0.0007680290490270636
much,0.0007413966557881698
uncomfortable,0.000670759861463921
shaken,0.0006186223472468555
as,0.0005679922679051844
heart,0.0005383173001121122
though,0.0004919083788384645
right,0.00043497180593021767
going,0.00040703392772099633
life,0.00039886683762233586
an,0.00039717565056207604
intimidated,0.0003791177011104689
take,0.00034684938265172605
afraid,0.00032089571061533206
day,0.00031562587658603053
really,0.0003145866801332886
home,0.0003071856825727082
how,0.00029681163100766145
shy,0.0002824644780048402
been,0.0002783010751841175
can,0.0002590577380942705
off,0.00025812171209812124
strange,0.00024433875546492345
now,0.00023801199732815804
would,0.00023288761194351082
way,0.00020481688571294399
is,0.0002009673112163856
anything,0.0002006658411630724
again,0.0001964892674550356
he,0.0001954479612322757
she,0.0001910411177448168
like,0.00017748514726463328
shaky,0.00017014197025370473
easy,0.00015833491602279537
all,0.00015808343273420177
them,0.00014926317430763447
know,0.00014372541323126597
told,0.00014332891585884985
at,0.00014331236666009772
without,0.00014127177655609557
threatened,0.0001340048488600587
her,0.00012946408216001664
too,0.00012754788015930293
reluctant,0.00011820010636256483
only,0.00011441683506063782
who,0.00011311870605368313
are,0.00010774339098260397
wanted,0.00010532207041554405
did,9.989591835619649e-05
because,9.806296516975029e-05
someone,9.551244420435978e-05
think,9.31642603632099e-05
away,9.243611460381847e-05
less,8.380745612157625e-05
what,8.00903302054697e-05
but,7.786430554038557e-05
by,7.776857455610298e-05
situation,7.686294065933907e-05
on,7.598645398205078e-05
bit,6.184775293149869e-05
had,5.670179129992903e-05
terrified,5.473419196277973e-05
love,4.6969626055215485e-05
from,4.2163069565503974e-05
they,3.430834537236175e-05
do,3.419676774127664e-05
comes,3.04416300120162e-05
slightly,2.830629243059472e-05
year,2.4940348642606598e-05
still,2.480300099705346e-05
just,2.1405369712586737e-05
up,2.0442548247956438e-05
be,1.082017629577032e-05
thin,8.192385621441645e-06
guys,7.828787905358089e-06
not,7.62773770475178e-06
go,6.997064474489889e-06
ass,5.799398650196963e-06
whatever,3.777901459519247e-06
people,3.377644134161528e-06
should,2.842232656045477e-06
other,8.499368580790664e-07
