word,mean_gradient,count
aids,2.5507492978067603,3
years,1.5995616743475694,4
myself,1.4583384490571916,5
past,1.3869236584093112,3
cancer,1.0071434912258863,9
day,0.9768139166408218,4
every,0.95982414611899,6
few,0.9503334978653584,4
feel,0.9194396929362685,9
felt,0.9053638145134452,6
something,0.8802862752927467,5
used,0.7238799251608725,3
because,0.7209247927594333,8
which,0.6564383478501744,3
else,0.3823477094692862,4
have,0.26746542270600915,25
for,0.2203785043682382,21
with,0.17065768690307387,14
you,0.14918498779831377,15
results,0.11203788523804785,3
