word,mean_gradient,count
life,0.26548780517223347,10
being,0.2259964656434152,7
the,0.04687627858443021,53
used,0.028376218236341327,3
self,0.021425895027641674,5
even,0.021398030391234595,3
and,0.020592940674715152,76
live,0.018593495969071228,3
therapy,0.01368002973322291,3
maybe,0.012839290079909915,6
job,0.010270216712797264,4
home,0.009426457066524563,4
work,0.009416850120214804,5
first,0.00868136790529661,4
medication,0.006714723005037134,3
years,0.0062126289438830485,7
weird,0.005894168452262723,3
lost,0.005588571497639805,8
ever,0.004153102340448338,3
now,0.0038402797149046817,10
