word,mean_gradient,count
uncomfortable,3.7632785483050006,3
less,3.430817819898948,3
don,1.4249643277003088,4
nervous,1.217574544871847,3
just,1.184579263591483,3
little,1.149974008949357,3
been,1.0905197603836616,3
things,1.0343971240023773,3
feeling,0.9836528458619682,16
always,0.9035300138251235,3
these,0.9031224603571294,3
think,0.6721766307300641,3
know,0.6488382984495729,5
what,0.6098911699189558,5
have,0.5741626653702667,8
out,0.5732865820148921,3
about,0.5645172704398647,8
terrified,0.48453136868374713,4
but,0.33289022377327154,9
now,0.2901702648682279,6
