word,mean_gradient,count
when,0.40268305464366805,7
this,0.17261622391950887,7
bitch,0.11338526555118733,4
with,0.07750694417135644,12
feel,0.07540919532561195,31
the,0.04377483517771108,33
people,0.01543897824982802,3
not,0.012384925961214321,5
just,0.011521453536564271,9
kind,0.011482767605533203,3
going,0.011450688102437804,3
for,0.010763141646748409,4
but,0.010441574650371876,8
life,0.010425625565403607,4
wrong,0.008268678172801932,3
was,0.0077905982466101404,12
can,0.0054402811452746395,5
should,0.005342265329090878,3
make,0.005315098653227324,3
like,0.00499170070506807,10
