word,mean_gradient,count
myself,0.35022086636599853,5
AIDS,0.2862690583327397,3
feel,0.2600004716740614,8
worried,0.24215211776936485,9
day,0.2219137853292826,3
asleep,0.22109364966551462,3
years,0.12691784043818188,4
used,0.12166151783397557,3
because,0.11119938202546109,8
few,0.11096628061568481,4
This,0.10598265149868287,3
cancer,0.10578961948916306,9
hands,0.1049561780661558,3
normal,0.08707400832008716,5
you,0.0831839904942951,14
ing,0.08049829768515337,4
felt,0.07617335371105582,7
else,0.06759724244420795,4
symptoms,0.06692482872555654,3
something,0.0667256622180048,6
