word,mean_gradient,count
don,1.1577047892496921,3
The,0.5780825540423393,3
her,0.5184990865258442,5
were,0.5013840339064094,3
know,0.40750488871951046,3
not,0.39181471318685607,3
and,0.3181683767736678,19
work,0.2945769766605129,3
did,0.29385471357090864,3
that,0.26615143905974037,8
get,0.2654014605820218,3
they,0.2413967685888565,4
can,0.21734555043221918,5
doesn,0.20356953720086798,3
you,0.1622117778002803,16
all,0.15518254383763028,3
are,0.11786615210647662,7
was,0.11629918031394482,3
mean,0.10511294363732304,4
out,0.10395254985875606,6
