word,mean_gradient,count
've,0.6934684589850804,8
stressed,0.6525488356128335,3
society,0.5717712857755638,3
cant,0.5326067342539318,4
lead,0.474704402537706,3
lost,0.47466356654573855,3
are,0.4291497444505694,4
can,0.35722076214733534,9
told,0.34901123964227737,5
anxiety,0.3489819804817671,3
him,0.3463198450238754,6
thoughts,0.3379253512248397,5
myself,0.3132945187195825,3
stop,0.2951260643700759,3
stuff,0.2931494464476903,3
there,0.28681257656232145,6
point,0.28494429545632255,3
completely,0.28175544579668593,3
way,0.2806177762686275,5
safe,0.27800616913009435,3
