word,mean_gradient,count
rushed,0.38049601352152723,3
life,0.2438003549568748,4
just,0.22686758569681034,9
going,0.22373345946289191,3
out,0.16082011804974172,3
but,0.12140684943722135,8
not,0.11729448679052439,5
like,0.11647244605583182,10
bit,0.10848344267287757,3
wrong,0.07708204646284382,3
this,0.07217135546462876,7
feel,0.062122388906279795,31
way,0.05634315793092052,3
because,0.050001422275727236,4
time,0.046024765690162894,4
and,0.040494393931250226,33
that,0.03246012658466593,19
feeling,0.03244525939112464,16
was,0.03070972220161121,13
bitch,0.029670923453522846,4
