word,mean_gradient,count
AIDS,1.064618617263477,3
pain,0.7835756633100269,3
cancer,0.5429839452875361,9
day,0.5355604131036671,3
myself,0.5141109829659399,5
because,0.4243316882529484,8
feels,0.2534424777462846,5
used,0.23568510654088945,3
anyone,0.18721678988113127,5
know,0.1775636169356858,4
years,0.17358248343339255,4
feel,0.17292535506271633,8
few,0.170650573221792,4
This,0.16480220990160888,3
else,0.1449844670814855,4
how,0.13647312981947834,6
when,0.1305489383856487,6
like,0.11663286835903364,16
something,0.09894955731851951,6
about,0.08495691556663587,22
