word,mean_gradient,count
ing,1.0997839762955361,3
stop,1.0277990917675197,3
school,0.7270775780634722,4
too,0.5701097508256984,3
relationship,0.503037477111017,3
year,0.4132098488238019,3
only,0.37874906878763187,3
completely,0.35562506743493333,3
them,0.31499518153032113,8
can,0.2842679264415185,9
problem,0.23302486066313577,4
normal,0.22964600039995275,5
way,0.2134917797840899,5
would,0.19861781067447737,3
any,0.18936446669977158,5
her,0.1808729182521347,5
but,0.17259382213803923,13
should,0.17085401566388705,6
talk,0.16685826524371805,8
thoughts,0.16354062790051102,5
