word,mean_gradient,count
This,0.1756147042927599,3
two,0.12989195235498605,3
not,0.07407026664577643,12
hands,0.0633667620907848,3
about,0.05658829953782432,22
even,0.0507546865628683,3
ing,0.05027623730143205,4
life,0.04418817030379311,9
that,0.030431413964819853,16
pain,0.018815432409307203,3
symptoms,0.012439251620283661,3
okay,0.009876423777313903,3
anxious,0.008465585101345954,7
over,0.007189832516269234,5
results,0.006767870596377179,3
she,0.006497221452112474,3
suddenly,0.00611361778525558,3
day,0.00582044328378591,3
has,0.005724891923637188,5
morning,0.0056696387570506586,3
