word,mean_gradient,count
relationship,1.0305834672605367,3
The,0.9582655568453446,5
being,0.31339047571415385,7
life,0.2459479635022035,10
hyp,0.02928709552118865,3
and,0.025799496795396712,75
therapy,0.015178906127403025,3
self,0.006528438437453587,5
weird,0.006147489138432623,3
love,0.00452938361362006,3
ever,0.003535318601052495,3
like,0.003458949512937929,13
something,0.003456205261954892,4
through,0.0032168954114695225,3
every,0.002447706975848026,6
bad,0.002309838043856871,3
last,0.0023056386426105746,4
night,0.002225129349881172,4
feel,0.0021999454879629743,11
months,0.002047074153324502,5
