word,mean_gradient,count
And,0.6249828134750715,3
normal,0.5251971578923985,5
abuse,0.5237644910812378,3
could,0.3560257748249569,4
money,0.26436936383591575,3
everyone,0.16377791949526,3
life,0.1573027163021834,8
person,0.1516176777513465,6
else,0.13189195518013244,3
Its,0.1296576350881272,3
take,0.120052842333583,3
only,0.11746458600585659,3
people,0.10536137143046492,9
society,0.0987545704022826,3
trying,0.09320742199755234,3
had,0.07156253110190391,8
are,0.0648989623059606,4
see,0.05528659181436524,3
ing,0.053820720277144574,3
just,0.0515347663207649,15
