word,mean_gradient,count
nervous,0.11756200452024738,3
terrified,0.05685838385124953,4
dont,0.05596696120725634,3
less,0.018379535749166582,3
cant,0.01774908344305004,8
was,0.017446937237446038,10
been,0.014042979441417932,3
feeling,0.011466639516498844,16
have,0.010769940723172056,8
know,0.010697326085937675,5
what,0.009428867263522989,5
but,0.007728737535330765,9
feel,0.007088588199059132,40
own,0.005557393354820306,4
rified,0.0023498076740603815,3
and,0.0014588204985849578,35
pet,0.00144777545362255,3
the,0.0012351936542070409,26
for,0.0007497250247373207,3
things,0.0006497166103448156,3
