word,mean_shap,count
normal,2.212779259454692,5
more,1.8804352959105017,6
abuse,1.6481760342915852,3
childhood,1.3202825862317695,3
year,1.246214787165324,3
though,0.9884344082902317,4
issue,0.9617346545176891,3
too,0.948168795042875,3
during,0.8040137284406228,3
everyone,0.6851148972224715,3
has,0.6565518188406714,5
stop,0.5648880824446678,3
getting,0.5158059822481138,9
completely,0.504564977066669,3
life,0.4963628625100682,8
only,0.3878360172578444,3
thoughts,0.3661245466209948,5
point,0.3646147559241702,3
why,0.3176905647851527,3
school,0.3034083198930603,5
