word,mean_shap,count
medication,0.6864945370374093,3
therapy,0.25972160802727257,3
much,0.1797254960229111,4
other,0.16146507026564905,4
thinking,0.137728456359946,5
left,0.1288054451674725,4
work,0.12582202436788065,5
over,0.1044844513748103,5
used,0.10320376199721674,3
feels,0.08959039327919527,4
take,0.08243219621954267,4
really,0.08147562861613551,5
should,0.08112636958442938,3
night,0.07810062448697863,4
because,0.0773631782387838,12
months,0.07537037862175566,5
ever,0.06658193879411556,3
talk,0.061367575109670724,4
lost,0.05947672538763982,8
maybe,0.057092000496595574,4
