word,mean_shap,count
uncomfortable,3.2024087547882423,3
nervous,2.008069798350334,3
shaken,1.8287012269126233,3
rified,1.709156607253438,3
terrified,1.1373336546078008,4
dont,1.125820331547099,3
pet,0.9639191111346008,3
these,0.4766341954904571,3
feeling,0.44914703680433377,16
was,0.4151384873752704,10
think,0.4097500500408084,3
always,0.3832708809574494,3
things,0.3455054561297099,3
little,0.3420603337387244,3
can,0.33799471159854877,5
have,0.28750445096659405,8
she,0.2572617540918145,4
going,0.1993912898566729,3
feel,0.15988032395588334,40
now,0.14231062188234014,6
