word,mean_shap,count
self,0.05586842119300854,5
medication,0.04113393171185938,3
love,0.03587799259245609,3
hyp,0.03245220748552432,3
therapy,0.016337729175575078,3
really,0.012714334263091587,5
left,0.009410137665270213,4
work,0.00939490580913116,5
take,0.00861251953529063,4
used,0.008418794192380119,3
feels,0.007421193041409424,4
because,0.007066552001305126,12
should,0.006238529225811362,3
relationship,0.00612857118054914,3
much,0.0059544222422118764,4
can,0.005921172906406961,6
talk,0.005693806478120678,4
The,0.005511580967686313,5
maybe,0.005388539706615347,4
over,0.005228753328356106,5
