word,mean_shap,count
nervous,3.223584442399442,3
own,0.7028019522849718,4
cant,0.5605672180129204,8
have,0.3219576730717648,8
and,0.09439317675433878,35
the,0.08972156872828062,26
you,0.07008025788915499,3
feel,0.06131717749538268,40
that,0.04217062683582324,18
was,0.03285322410401932,10
fearful,0.010412063762487378,4
how,0.009699837100924924,4
ive,0.006352562757456326,4
about,0.005868508126013694,8
less,0.004827905679727944,3
dont,0.00335914792958647,3
believe,0.003226246995230516,3
with,0.0031619848405297388,9
love,0.002354101827222621,4
things,0.0022897733251738828,3
