word,mean_shap,count
now,0.014858592689658204,3
all,0.013600269633419279,3
should,0.008027632560697384,3
because,0.007474876432070232,4
bit,0.0072967645634586615,3
time,0.005397580057433515,4
not,0.004951355201410479,5
out,0.004839309456656338,3
just,0.0040601231183043434,9
kind,0.0038069910369813442,3
going,0.0034482121194135593,3
life,0.003260683691678423,4
like,0.003105674784274015,10
that,0.0024037387009612807,19
this,0.0023193575715205433,7
bitch,0.002126280135144043,4
but,0.0021088151138428657,8
feel,0.0020138409069013798,31
and,0.0019499710218483276,33
for,0.0019010355631507991,4
