word,mean_shap,count
get,0.30631605595651007,3
not,0.264691361563564,3
did,0.25816577363123844,3
was,0.1409240683351527,3
know,0.13664108273587772,3
doesn,0.11412877873832865,3
mean,0.09570128902714714,4
but,0.05822019854823187,6
that,0.04057425850231766,8
you,0.028844767306921426,16
and,0.022894604365128066,19
who,0.005863897914120268,3
were,0.00426349430836126,3
The,0.004047757773757136,3
her,0.003076464221248898,5
are,0.002638946917483866,7
they,0.0021328478489408553,4
can,0.001044156381249195,5
today,0.0007852212772074078,3
out,0.0006237538696041156,6
