word,mean_shap,count
don,1.5343670551058797,3
not,1.1021627943497152,5
you,0.8515672641491013,3
all,0.8364042698849516,6
always,0.7131442320145046,3
love,0.7121732487326621,7
how,0.7005637067801823,3
have,0.6350416203931672,6
one,0.5645096269436181,4
for,0.5456815127652135,8
this,0.5232556924534038,8
can,0.5179458995553432,4
look,0.5047017152925642,3
without,0.49638396836890025,5
that,0.3785017519286612,15
feel,0.3769258195901856,38
work,0.3678174654827065,3
more,0.24897641023198958,8
like,0.24358402113218997,9
and,0.182853289418361,32
