word,mean_shap,count
now,1.2199623181732022,3
bit,1.0459689481552534,3
because,0.9130224213988072,4
should,0.8512366275269111,3
all,0.783545641606679,3
time,0.6212364353013982,4
like,0.23785136536173468,10
that,0.1492937311825005,19
feel,0.11204620969085462,31
and,0.09176846497752139,33
the,0.05575527986396386,33
bitch,0.0028546118237500195,4
not,0.0016936934032855788,5
kind,0.0015124449055292644,3
going,0.0011263760619234138,3
just,0.0010265567498461475,9
you,0.0009753398662724067,5
but,0.0009191430704049708,8
this,0.0008735934149756629,7
don,0.0007780835352377835,4
